case                                 qubits  frames  load  store  move  rydberg  raman  measure  reset  cz  cz_req  colors  deg      move_nm     max_nm         us
01-even-cycle                             6      36    15     15    92        3      0        1      0   6       6       3    2    1900000.0   142000.0    974.236
02-pendant-cycle                          6      60    19     19   111        4      0        1      0   6       6       4    4    2059000.0   142000.0   1387.164
03-grid                                   9      42    22     22   159        6      0        1      0  12      12       6    4    3643000.0   142000.0   1330.291
04-qft-5                                  5     104    29     29   147       10      5        1      0  10      10      10   10    2110000.0   142000.0   2022.000
bell/01-bell                              2      32     5      5    28        1      6        1      0   1       1       1    1     585000.0   142000.0    805.655
bell/02-bell-serial                      20      32    50     50   277        1     60        1      0  10      10       1    1    6064000.0   142000.0   1027.473
bell/03-bell-inter                        4      80    13     13    72        3     18        1      0   3       3       3    3    1270000.0   142000.0   1476.964
czpair/01-dup-adjacent                    2      48     8      8    44        2      0        1      0   2       2       2    2     695000.0   142000.0   1125.855
czpair/02-dup-reversed                    2      48     8      8    44        2      0        1      0   2       2       2    2     695000.0   142000.0   1125.855
czpair/03-dup-commuting-cz-between        3      49    11     11    57        3      0        1      0   3       3       3    3     981000.0   142000.0   1162.418
czpair/04-dup-disjoint-u-between          3      49     9      9    50        2      1        1      0   2       2       2    2     927000.0   142000.0   1142.218
czpair/05-dup-partner-u-between           2      49     8      8    44        2      1        1      0   2       2       2    2     695000.0   142000.0   1125.855
czpair/06-dup-triple                      2      68    11     11    60        3      0        1      0   3       3       3    3     805000.0   142000.0   1446.055
czpair/07-dup-reset-between               2      61    10     10    54        2      0        1      1   2       2       2    2    1019000.0   143000.0   1927.673
czpair/08-dup-cx                          2      52     8      8    44        2      4        1      0   2       2       2    2     695000.0   142000.0   1125.855
czpair/09-dup-in-triangle                 3      68    14     14    72        4      0        1      0   4       4       4    4    1093000.0   142000.0   1493.527
reset/01-reuse                            1      37     5      5    26        0      3        1      2   0       0       0    0     858000.0   143000.0   1760.000
reset/02-register                         4      86    21     21   111        3     11        1      1   3       3       3    3    2586000.0   143000.0   2189.691
reset/03-interleave                       6      64    27     27   143        2     12        1      1   5       5       2    2    3135000.0   143000.0   2078.582
